Business types,Commission Expense Amount (bin),Employer Cost (bin),Employer Costs Benefits (bin),Naics Code,Advertising And Promotional Services,Annual Payroll,Commission Expense Amount,Communication Services,Contract Labor Costs,Data Processing And Computer Services,Depreciation And Amortization,Electricity,Employer Cost,Employer Costs Benefits,Employer Costs Contribution Plans,Employer Costs Health Insurance,Employer Costs Pension Plans,Expensed Equipment Amount,Fuels,Maintenance Of Buildings Offices,Operating Expenses,Other Operating Expenses,Packaging Materials And Containers,Parts And Supplies Not For Resale,Professional And Technical Services,Purchases Of Software,Rental Payment For Machinery,Rental Payments For Buildings Offices,Repairs And Maintenance Of Equipment,Taxes And License,Transportation Shipping Warehousing,Water Sewer And Other Utility
Department stores,811,0K,0K,4521,4826,23100,1214.2,292,737.1,178,4975,1467,5140,2686,430,1571,453,469,54,556,48579,14825.3,229,886,685,172,132,2242,355,1631,419,148
Department stores (except discount dept. stores),811,0K,0K,452111,2365,10210,1214.2,123,737.1,165,2260,678,2236,1196,592,640,366.1,469,23,242,20683,14825.3,141,306,225,100,45,1020,42,679,1584.7,81
Discount dept. stores,811,0K,0K,452112,2461,12890,1214.2,169,737.1,14,2715,789,2905,1490,592,932,366.1,469,31,314,27896,14825.3,88,580,459,73,87,1222,314,952,1584.7,67
Other general merchandise stores,0,8K,4K,4529,2474,38798,225,258,43,25,4468,2600,8779,3912,259,3825,784,117,74,1106,84093,14825.3,195,1616,1348,24,104,5939,968,2144,742,277
Warehouse clubs and superstores,811,0K,0K,45291,1929,32668,1214.2,180,4,7,3566,1956,7686,3253,215,3449,768,84,30,957,68433,14825.3,87,1467,1102,7,59,3301,767,1773,579,190
All other general merchandise stores,0,0K,0K,45299,546,6130,225,78,39,17,902,644,1094,658,44,376,15,32,45,149,15660,14825.3,108,150,246,17,45,2639,202,370,164,88
Miscellaneous store retailers,0,0K,0K,453,1773,15325,188,444,318,153,1384,899,2873,1791,129,922,31,135,117,510,38256,14825.3,242,793,775,66,153,5883,272,636,569,220
Nonstore retailers,3244,0K,0K,454,10970,31855,3345,736.7,1717,494,5151,850,7067,3262,1011,2672,122,310,139,395,93697,11342,790,1489,3044,550,488,4031,780,873,6158,156
Electronic shopping,1622,0K,0K,4541,10444,24175,2130,736.7,1539,435,3769,639,5258,2341,872,1954,92,216,44,247,74505,8832,747,849,2679,501,308,3253,449,645,5781,104
Accommodation and food services,4055,31K,23K,72,18668,187694,4511,2380,2649,1020,28609,14140,35392,24425,1048,9472,447,2666,3031,5257,461119,66497,4802,13841,8730,658,1710,32622,6536,13908,869,4961
Accommodation services,1622,8K,4K,721,6150,44919,1812,863,1103,539,14019,4335,11305,6458,392,4276,179,518,964,2101,138357,24886,95,4676,3071,353,682,3152,1482,9211,245,1906
Food service and drinking places,2433,23K,15K,722,12518,142775,2699,1518,1546,481,14590,9804,24088,17967,656,5196,269,2147,2066,3155,322762,41611,4708,9165,5659,305,1028,29469,5053,4698,624,3056
